type,id,name,gender,person,description
way,86413541,Rue Fernand Hotyat,M,,
way,86413551,Place Emile Vandervelde,M,,
way,86413554,Rue René Decooman,M,,
way,86413555,Rue Aimé Mignolet,M,,
way,87138905,Rue Francisco Ferrer,M,,
way,87138913,Rue Henri Rousselle,M,,
way,87138916,Rue Auguste Varet,M,,
way,87138932,Rue Jules Destrée,M,,
way,87138937,Rue Jules Destrée,M,,
way,87315385,Rue Albert Delwarte,M,,
way,87315386,Rue Alfred Defuisseaux,M,,
way,87315390,Rue Paul Pastur,M,,
way,87315968,Place Aimé Loriaux,M,,
way,87339244,Rue Joseph Wauters,M,,
way,87339246,Rue Auguste Ligot,M,,
way,87339249,Rue Henry Belyn,M,,
way,87340906,Rue Auguste Piccard,M,,
way,87340911,Avenue Georges Lemaître,M,,
way,87340914,Rue Auguste Piccard,M,,
way,87340915,Rue Antoine de Saint-Exupéry,M,,
way,87341698,Rue Albert Ier,M,,
way,87341701,Rue René Delhaize,M,,
way,87686411,Rue Louis de Brouckère,M,,
way,87686415,Place Albert 1er,M,,
way,88107846,Rue du Renard du Cazier,M,,
way,88107849,Rue Adolphe Max,M,,
way,88107868,Rue Edmond Ramboux,M,,
way,88107897,Rue Yvon Van Wymeersh,M,,
way,88107910,Rue Albert Einstein,M,,
way,88107913,Place Roger Desaise,M,,
way,88119445,Rue Émile Thibaut,M,,
way,88119454,Rue Napoléon Lejong,M,,
way,88119462,Rue Jacques Bufquin des Essarts,M,,
way,88119469,Rue Constant Renchon,M,,
way,88119482,Rue Jacques Bufquin des Essarts,M,,
way,88119484,Rue René Dupriez,M,,
way,88119487,Rue Fernand Derenne,M,,
way,88126685,Rue Paul Pastur,M,,
way,88141582,Rue du Val d'Heure,M,,
way,88141590,Rue du Val d'Heure,M,,
way,88141599,Rue Léon Dubray,M,,
way,88141604,Rue Léon Sacré,M,,
way,88141620,Rue François Bovesse,M,,
way,88141630,Rue François Bovesse,M,,
way,88141633,Rue François Bovesse,M,,
way,88141636,Rue Alphonse Heureux,M,,
way,88141638,Rue Roger Desaise,M,,
way,88141643,Rue François Bovesse,M,,
way,88141647,Rue les Coteaux du Tilleul,M,,
way,88141652,Rue Léon Dubray,M,,
way,88141654,Rue François Bovesse,M,,
way,88222533,Rue Constantin Meunier,M,,
way,88235495,Avenue Louis de Brouckère,M,,
way,88235496,Rue François Hubinon,M,,
way,88235504,Avenue Louis de Brouckère,M,,
way,88235508,Avenue Louis de Brouckère,M,,
way,88235527,Rue André Renaud,M,,
way,88235555,Avenue Louis de Brouckère,M,,
way,88270374,Rue Adam Tulia,M,,
way,88270383,Rue Émile Vandervelde,M,,
way,88434232,Avenue Eugène Mascaux,M,,
way,88434253,Rue Georges Dehont,M,,
way,88434256,Rue Paul Lambert,M,,
way,88434259,Rue Jean Bellière,M,,
way,88488645,Rue Jean Pain,M,,
way,88488648,Rue Jules Despy,M,,
way,88488668,Rue Louis Vilez,M,,
way,88488708,Rue Jean Pain,M,,
way,88493065,Rue Pierre l'Hermite,M,,
way,88493066,Rue Pierre l'Hermite,M,,
way,88523159,Rue Léon Fayt,M,,
way,88523172,Rue Paul Pastur,M,,
way,88523180,Rue Léon Fayt,M,,
way,88523184,Rue Alexandre Bertaux,M,,
way,88523193,Rue du Sergent Jules Rehel,M,,
way,88652890,Rue Jules Destrée,M,,
way,88722494,Rue Adolphe Rennoir,M,,
way,88722540,Place Jean Gonsette,M,,
way,88722548,Rue Joseph Stanard,M,,
way,88722643,Rue Dom Berlière,M,,
way,88722665,Rue Armand Wolff,M,,
way,88722668,Rue Albert Ier,M,,
way,88722677,Rue Arthur Dubois,M,,
way,88722689,Rue Jean Wyns,M,,
way,88722696,Rue Arthur Dubois,M,,
way,88722706,Place Albert 1er,M,,
way,89034276,Rue Hector Gratia,M,,
way,89034278,Rue Hector Gratia,M,,
way,89061714,Rue François Dewiest,M,,
way,89061720,Rue Émile Royer,M,,
way,89061744,Rue Émile Gantois,M,,
way,89062361,Rue Cornelis Debruyn,M,,
way,89062362,Rue Alfred Georges,M,,
way,89396202,Rue Joseph Francq,M,,
way,89404539,Rue Jules Tison,M,,
way,89404544,Rue Oscar Carlier,M,,
way,89404547,Rue Justin Lombard,M,,
way,89404570,Rue Émile Vandervelde,M,,
way,89404594,Rue Martin Fayt,M,,
way,89404600,Rue Oscar Carlier,M,,
way,89404603,Rue Raoul Vanderick,M,,
way,89445123,Place Omer Musch,M,,
way,89445127,Place Omer Musch,M,,
